study_id,title,status,phase,enrollment
NCT01310231,A Trial of Standard Chemotherapy With Metformin (vs Placebo) in Women With Metastatic Breast Cancer,COMPLETED,PHASE2,40.0
NCT04062331,Transcranial Magnetic Stimulation (TMS) in Multiple Sclerosis,UNKNOWN,PHASE1,90.0
NCT04275453,Comparison of the Short-Term Effect of Dietary Carbohydrate Restriction Versus Exogenous Ketone Supplementation on Myocardial Glucose Suppression and Timing to Achieve a State of Ketosis Using FDG PET/CT Serial Imaging,RECRUITING,PHASE1,20.0
NCT01568853,A Prospective Study of The Complement Depletion in Patients With Severe Abdominal Sepsis,COMPLETED,NA,75.0
NCT03205553,Direct Peritoneal Resuscitation in Gastroschisis,TERMINATED,PHASE1,3.0
NCT03092453,Dendritic Cell Vaccination in Patients With Advanced Melanoma,COMPLETED,PHASE1,5.0
NCT02773537,Motor-Sparing Peripheral Nerve Blockade Facilitates Mobility Post Total Knee Arthroplasty: A Randomized Controlled Trial,COMPLETED,NA,75.0
NCT03361345,Topical 5% Tranexamic Acid as a Treatment for Postinflammatory Hyperpigmentation Due to Acne Vulgaris,WITHDRAWN,PHASE2,0.0
NCT05632445,Apixaban vs Dual Antiplatet Therapy Study After Left Atrial Appendage Occlosure (ADALA),COMPLETED,PHASE4,160.0
NCT00692445,TC-5214 as add-on the Treatment of Major Depressive Disorder,COMPLETED,PHASE2,574.0
NCT05716945,The OPTIMISE Study,RECRUITING,PHASE4,342.0
NCT00804245,C-11 Choline PET-CT Scan in Finding Metastases in Patients With Newly Diagnosed High-Risk Prostate Cancer,COMPLETED,PHASE1,18.0
NCT03698045,Safety and Tolerability of PRO-143 Ophthalmic Solution in Healthy Volunteers.,WITHDRAWN,PHASE1,0.0
NCT02076672,Investigation of the Anti-Cancer Activity of Artichoke Extract in an Asbestos-Exposed Population,COMPLETED,PHASE2,3.0
NCT02027272,Eclampsia and Posterior Reversible Encephalopathy Syndrome (PRES):,TERMINATED,NA,1.0
NCT00471237,A Phase II Study Evaluating SB-751689 in Post-Menopausal Women With Osteoporosis.,TERMINATED,PHASE2,564.0
NCT01031472,A Study to Assess Relative Bioavailability and Food Effect of New Formulations of GSK2248761,COMPLETED,PHASE1,24.0
NCT01336972,Short-term Renal Hemodynamic Effects of Tolvaptan in Subjects With Autosomal Dominant Polycystic Kidney Disease (ADPKD),COMPLETED,PHASE2,29.0
NCT06771245,A Phase III Clinical Trial Evaluating the Efficacy and Safety of Valsartan/Levamlodipine (SYH9056) Tablets In Hypertensive Patients,NOT_YET_RECRUITING,PHASE3,606.0
NCT02788045,"Safety, Tolerability and Immunogenicity Study of Different Vaccine Regimens of Trivalent Ad26.Mos.HIV or Tetravalent Ad26.Mos4.HIV Along With Clade C Glycoprotein (gp)140 in Healthy Human Immunodeficiency Virus (HIV)-Uninfected Adults",COMPLETED,PHASE1,201.0
NCT02583672,Role of Oxidative Stress and Inflammation in Type 1 Gaucher Disease (GD1),COMPLETED,PHASE2,33.0
